Author,Writing,Filename,Year,Style,katakana_romaji,romaji_kanji,kanji_katakana,No_words,No_katakana,No_romaji,No_kanji,ratio_katakana,ratio_romaji,ratio_kanji,ratio_all_gairaigo
Arishima Takeo,Aruonna_zenpen,01aru_onna_zenpen.txt,1919,shirakaba,0.4092266,0.1986317,0.430276,101699,378,94,54,0.003716850706497,0.000924296207436,0.000530978672357,0.005172125586289
Shimazaki Toson,Yoake mae_01,01yoakemae1_jo.txt,1929,naturalism,NA,NA,0.1283632,154408,167,0,35,0.001081550178747,0,0.000226672193151,0.001308222371898
Arishima Takeo,Aruonna_kohen,02aru_onna_kohen.txt,1919,shirakaba,0.2895439,-0.1283868,-0.1010267,139432,204,10,23,0.001463078776751,7.17195478799702E-05,0.000164954960124,0.001699753284755
Shimazaki Toson,Yoake mae_02,02yoakemae1_ge.txt,1929,naturalism,NA,NA,0.2110687,140686,104,0,24,0.000739234891887,0,0.000170592667359,0.000909827559245
Shimazaki Toson,Yoake mae_03,03yoakemae2_jo.txt,1929,naturalism,NA,NA,0.5641905,134960,440,0,30,0.003260225251927,0,0.000222288085359,0.003482513337285
Shimazaki Toson,Yoake mae_04,04yoakemae2_ge.txt,1929,naturalism,NA,NA,0.2508865,158081,77,0,21,0.000487092060399,0,0.0001328432892,0.000619935349599
Mori Ogai,Abe ichizoku,abe_ichizoku.txt,1913,historical fiction,NA,NA,NA,21759,0,0,0,0,0,0,0
Akutagawa Ryunosuke,Aki,aki.txt,1920,neorealism,NA,NA,NA,8351,10,0,8,0.00119746138187,0,0.000957969105496,0.002155430487367
Natsume Soseki,Bocchan,bocchan.txt,1906,romanticism,-0.05653386,-0.21846297,-0.02043906,69079,289,9,22,0.004183615860102,0.00013028561502,0.000318475947828,0.004632377422951
Natsume Soseki,Buncho,buncho.txt,1908,parnassianism,NA,NA,NA,8820,8,0,11,0.000907029478458,0,0.00124716553288,0.002154195011338
Akutagawa Ryunosuke,Butokai,butokai.txt,1920,neorealism,NA,NA,NA,3914,20,7,13,0.005109862033725,0.001788451711804,0.003321410321921,0.01021972406745
Natsume Soseki,Carlyle_hakubutsukan,carlyle_hakubutsukan.txt,1905,romanticism,NA,NA,NA,5592,76,0,21,0.013590844062947,0,0.003755364806867,0.017346208869814
Arishima Takeo,Chiisaki monoe,chiisaki_monoe.txt,1918,shirakaba,NA,NA,NA,7389,9,10,2,0.00121802679659,0.001353363107322,0.000270672621464,0.002842062525376
Tanizaki Junichiro,Chijin no ai,chijinno_ai.txt,1924,satanism,0.2395547,-0.2237263,0.4482855,126689,1441,91,51,0.01137431031897,0.000718294405986,0.000402560601157,0.012495165326114
Akutagawa Ryunosuke,Chuto,chuto.txt,1917,neorealism,NA,NA,NA,36668,0,0,3,0,0,8.18152067197556E-05,8.18152067197556E-05
Mori Ogai,Fumizukai,fumizukai.txt,1891,romanticism,NA,NA,0.9895596,11359,65,0,35,0.005722334712563,0,0.003081257152918,0.008803591865481
Tayama Katai,Futon,futon.txt,1907,naturalism,0.08402413,-0.03545148,0.86726628,35203,55,2,35,0.001562366843735,5.68133397721785E-05,0.000994233446013,0.00261341362952
Mori Ogai,Gan,gan.txt,1911,parnassianism,0.8281622,-0.2689438,-0.143693,56479,22,43,33,0.000389525310292,0.000761344924662,0.000584287965438,0.001735158200393
Akutagawa Ryunosuke,Genkaku sanbo,genkaku_sanbo.txt,1927,neorealism,NA,NA,NA,9222,12,3,1,0.001301236174366,0.000325309043591,0.000108436347864,0.001734981565821
Akutagawa Ryunosuke,Gesaku zanmai,gesaku_zanmai.txt,1917,neorealism,NA,NA,NA,16007,0,0,11,0,0,0.000687199350284,0.000687199350284
Koda Rohan,Gojyu-no to,gojuno_to.txt,1892,pseudoclassicism,NA,NA,0.1543033,45675,9,0,15,0.000197044334975,0,0.000328407224959,0.000525451559934
Natsume Soseki,Gubijinso,gubijinso.txt,1907,parnassianism,NA,NA,0.06841084,163592,115,0,312,0.000702968360311,0,0.001907183725366,0.002610152085677
Kunikida Doppo,Gyuniku to bareisho,gyunikuto_bareisho.txt,1901,romanticism,-0.03394221,-0.77771377,0.6546537,13147,43,53,24,0.003270708146345,0.004031337947821,0.001825511523542,0.009127557617707
Akutagawa Ryunosuke,Haguruma,haguruma.txt,1927,neorealism,0.6459856,0.8086595,0.6884672,18473,212,65,54,0.011476208520544,0.003518648838846,0.002923185189195,0.017918042548585
