katakana,6,7,3,0,6,1,8,9,1,16,6,1,4,0,2
romaji,29,0,0,0,41,0,0,0,0,0,0,0,0,0,0
kanji,0,2,1,1,1,4,0,3,2,1,7,0,4,1,5
