katakana,2,0,2,1,3,0,3,2,2,1,1,0,2,7,6,2,4,1,1,3,1
romaji,0,0,0,0,0,0,0,1,4,0,0,1,0,7,0,0,0,4,0,0,0
kanji,1,7,3,2,4,0,11,0,8,8,5,10,8,4,6,2,0,4,3,2,0
