katakana,6,10,34,48,33,12,16,22,15,16,7,3,4,8,17,17,3,5,1
romaji,2,10,4,6,24,19,13,21,18,10,32,18,18,44,36,32,15,9,14
kanji,3,3,7,6,3,1,0,7,7,4,4,1,5,5,5,6,1,1,1
