katakana,7,12,18,36,21,64,24,31,7,6,4,20,41,16,29,6
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,0,3,2,2,1,3,5,8,4,3,1,9,8,2,1,1
