katakana,6,1,1,1,1,2,2,4,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,2,0,5,1,9,3,0,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,1,0,0,1,0,0,0,2,1,1,0,8,1,2,1,3,1,1,1,1,0,0,0,2,3,0,1,4,3,1,0
