katakana,20,9,18,28,10,8,10,35,3,2,35,36,8,6,9,17,23,12,16,11,6,19,22
romaji,0,0,5,0,0,0,0,0,10,0,11,6,0,0,0,0,3,0,0,0,2,7,0
kanji,6,3,4,5,4,3,4,5,1,3,4,3,0,3,1,1,13,0,5,1,4,2,9
