katakana,6,4,5,1,2,7,2,1,33,7,14,2,4,7,11,10,17,8,3,2,1,12,8,9,6,7,6,9,0
romaji,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
kanji,6,1,2,1,1,1,1,0,0,0,0,1,0,1,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0
