katakana,52,63,71,78,58,66,97,50,70,97,73,45,43,37,32,94,64,40,42,32,47,24,45,27,49,45
romaji,1,0,7,0,23,0,9,3,6,0,6,0,24,0,0,11,0,0,0,0,0,0,0,0,0,1
kanji,0,3,1,3,0,7,4,4,4,5,0,2,0,0,1,2,0,0,2,1,1,0,5,0,3,3
