katakana,1,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,3
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,6,5,8,3,1,1,1,30,5,4,2,3,1,3,2,5,3,3,3,1,0,0,2,1,4,2,2,4,2,4,4,2,2,1
