katakana,52,124,44,51,41,81,18,17,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,1,4,2,0,0,7,1,0,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,1,2,4,0,0
