katakana,22,13,17,7,10,5,19,11,14,38,29,20,31,12,19,26,29,19,15,16,6
romaji,0,1,2,11,0,0,0,1,8,14,1,6,1,3,3,6,26,6,4,0,1
kanji,3,0,4,1,1,0,4,3,7,4,5,2,3,4,3,2,3,2,2,0,1
