katakana,0,1,5,0,1,0,6,5,9,0,9,2,0,2,3,8,7,2,2,0,5,4,10,3,2,0,1,0,0,0,0,0,1,0,0,1
romaji,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
kanji,8,9,2,4,2,2,4,4,6,4,3,3,5,3,5,1,18,6,11,1,9,1,6,9,4,11,1,2,10,7,3,6,5,10,4,4
