katakana,0,9,10,8,1,20,2,0,1,4,2,4,1,5,6,6,2,0,4,8,2,3,3,0,1,0,3,1,3,1,1,4,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,4,13,18,9,4,5,15,3,4,13,4,7,4,7,5,18,8,2,2,8,7,13,21,13,27,11,18,16,3,7,10,11,2
