katakana,4,6,9,12,26,13,8,7,11,16,1,7,11,12,1,7,17,8,11,7,19,11,3,6,9,7,5,4,0,27,32,7,9,3,16,2,4,3,0,3,4,5,29,23,27,20,8,31,6
romaji,0,0,2,5,1,0,0,9,0,14,0,0,2,2,0,0,0,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0
kanji,3,0,1,4,3,4,7,1,4,7,7,1,1,1,5,1,6,1,0,1,4,2,3,6,2,3,7,1,1,2,3,2,5,1,1,3,0,2,0,1,3,0,1,4,16,6,0,7,2
