katakana,2,1,3,2,1,1,2,2,2,4,2,8,1,3,1,1,2,2,0,0,5,12,1,3,2,0,11,10,5,1,1,11,7,1,7
romaji,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,2,17,16,30,7,0,14,0,0,0
kanji,10,6,4,3,1,3,6,1,2,4,5,1,1,4,10,7,3,6,2,3,10,10,4,6,2,5,3,4,9,6,8,3,2,1,2
