katakana,4,2,1,0,3,2,9,1,1,0,3,1,5,1,0,0,2,1,0,0,0,0,0,1,1,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,63,46,60,51,49,45,41,35,1
kanji,2,2,0,4,3,1,3,3,1,2,0,8,1,1,1,2,2,2,0,4,4,1,4,6,0,0
