katakana,3,0,1,2,1,10,2,8,2,3,6,9,0,7,0,14,3,8,2,5,1,2,0,0,0,3,8,1,0,0
romaji,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,4,0,0,1,0,0,0,0
kanji,3,0,7,7,6,8,4,7,5,0,7,7,5,7,8,23,9,1,4,11,6,1,9,2,5,10,5,3,4,0
