katakana,19,7,4,11,12,7,12,6,7,4,15,8,10,8,3,0,0,2,0,0,0
romaji,0,0,0,0,0,0,3,0,4,0,12,2,54,12,0,0,2,10,0,0,0
kanji,14,6,0,3,2,4,2,1,1,3,3,2,6,2,1,4,1,4,0,2,0
