katakana,0,0,1,3,0,0,1,12,2,5,3,2,19,11,18,18,9,6,9,5,11,4
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,2,4,2,2,2,0,0,4,1,1,2,2,4,6,5,3,3,4,7,9,12,5
