katakana,1,4,6,2,2,2,11,7,7,13,0,2,3,2,1
romaji,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
kanji,2,1,0,0,3,1,1,2,1,2,0,4,1,6,1
