katakana,17,4,9,5,7,8,14,16,20,9,14,9,4,6,10,8,12,13,14,4,10,10,4
romaji,8,0,1,0,1,0,6,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0
kanji,9,8,11,15,5,8,7,3,7,2,4,2,0,1,4,2,2,7,6,0,0,2,1
