katakana,3,0,6,1,0,4,0,4,15,1,1,3,2,2,10,1,1,1,8,4,0,2,2,6,2,2,1,1,0,7,1,2,1,1,0,5,1,0,1,0,0,0,1,2,2,0,0,1,4,0
romaji,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,8,12,4,2,4,5,4,14,16,16,2,2,8,3,13,5,5,1,4,4,0,7,1,5,4,3,1,10,0,3,3,6,13,14,5,2,0,2,0,0,1,1,4,0,0,0,0,3,2,0
