katakana,4,16,0,0,6,0,2,2,0,8,7,12,2,2,4,7,8,1,0,0,9,5,0,2,0,1,1,0,0,1,10
romaji,1,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kanji,10,15,18,5,12,5,3,1,5,16,6,15,11,3,6,2,7,9,3,1,4,5,3,11,7,6,5,1,3,6,4
