katakana,29,7,32,34,9,1,12,10,4,4,16,12,9,7,10,12,4,5,0
romaji,7,4,2,31,0,1,0,3,0,0,2,0,3,0,0,0,0,0,0
kanji,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
