たけくらべ	名詞	普通名詞	一般	*	*	*	タケクラベ	丈比べ	たけくらべ	タケクラベ	タケクラベ	和	たけくらべ	タケクラベ	タケクラベ	タケクラベ	*	*	*	*	*	*	3	C1	*
はかり知ら	動詞	一般	*	*	文語四段-ラ行	未然形-一般	ハカリシル	計り知る	はかり知ら	ハカリシラ	ハカリシラ	和	はかり知る	ハカリシル	ハカリシル	ハカリシル	*	*	*	*	*	*	4	C1	*
れ	助動詞	*	*	*	文語下二段-ラ行	未然形-一般	レル	れる	れ	レ	レ	和	る	ル	ル	ル	*	*	*	*	*	*	*	動詞%F3@0	*
ぬ	助動詞	*	*	*	文語助動詞-ズ	連体形-一般	ズ	ず	ぬ	ヌ	ヌ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
全盛	名詞	普通名詞	一般	*	*	*	ゼンセイ	全盛	全盛	ゼンセー	ゼンセイ	漢	全盛	ゼンセー	ゼンセイ	ゼンセイ	*	*	*	*	*	*	"0	1"	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
うらなひ	動詞	一般	*	*	文語四段-ハ行	連用形-一般	ウラナウ	占う	うらなひ	ウラナイ	ウラナヒ	和	うらなふ	ウラナウ	ウラナフ	ウラナウ	*	*	*	*	*	*	3	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
大音	名詞	固有名詞	一般	*	*	*	ダイオン	大音	大音	ダイオン	ダイオン	固	大音	ダイオン	ダイオン	ダイオン	*	*	*	*	*	*	1	*	*
寺前	名詞	固有名詞	地名	一般	*	*	テラマエ	テラマエ	寺前	テラマエ	テラマエ	固	寺前	テラマエ	テラマエ	テラマエ	*	*	*	*	*	*	2	*	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
名	名詞	普通名詞	一般	*	*	*	ナ	名	名	ナ	ナ	和	名	ナ	ナ	ナ	*	*	*	*	*	*	0	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
仏	名詞	普通名詞	一般	*	*	*	フツ	仏	仏	フツ	フツ	漢	仏	フツ	フツ	フツ	*	*	*	*	*	*	1	C3	*
くさけれ	形容詞	一般	*	*	文語形容詞-ク	已然形-一般	クサイ	臭い	くさけれ	クサケレ	クサケレ	和	くさし	クサシ	クサシ	クサシ	*	*	*	*	*	*	1	C1	*
ど	助詞	接続助詞	*	*	*	*	ド	ど	ど	ド	ド	和	ど	ド	ド	ド	*	*	*	*	*	*	*	動詞%F2@0	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
さり	動詞	一般	*	*	文語ラ行変格	終止形-一般	サル	然る	さり	サリ	サリ	和	さり	サリ	サリ	サリ	*	*	*	*	*	*	1	C1	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
陽気	名詞	普通名詞	一般	*	*	*	ヨウキ	陽気	陽気	ヨーキ	ヨウキ	漢	陽気	ヨーキ	ヨウキ	ヨウキ	*	*	*	*	*	*	"0	1"	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
町	名詞	普通名詞	一般	*	*	*	マチ	町	町	マチ	マチ	和	町	マチ	マチ	マチ	*	*	*	*	*	*	2	C3	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
住み	動詞	一般	*	*	文語四段-マ行	連用形-一般	スム	住む	住み	スミ	スミ	和	住む	スム	スム	スム	*	*	*	*	*	*	1	C1	*
たる	助動詞	*	*	*	文語助動詞-タリ-完了	連体形-一般	タリ	たり-完了	たる	タル	タル	和	たり	タリ	タリ	タリ	*	*	*	*	*	*	*	"動詞%F6@1	-1	形容詞%F2@-2"	*
人	名詞	普通名詞	一般	*	*	*	ヒト	人	人	ヒト	ヒト	和	人	ヒト	ヒト	ヒト	ヒ濁	基本形	*	*	*	*	0	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
申	動詞	非自立可能	*	*	文語四段-サ行	連用形-一般	モウス	申す	申	モーシ	モウシ	和	申す	モース	モウス	モウス	*	*	*	*	*	*	1	C1	*
き	助動詞	*	*	*	文語助動詞-キ	終止形-一般	キ	き	き	キ	キ	和	き	キ	キ	キ	*	*	*	*	*	*	*	動詞%F4@0	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
三嶋	名詞	固有名詞	地名	一般	*	*	ミシマ	ミシマ	三嶋	ミシマ	ミシマ	固	三嶋	ミシマ	ミシマ	ミシマ	*	*	*	*	*	*	0	*	*
神社	名詞	普通名詞	一般	*	*	*	ジンジャ	神社	神社	ジンジャ	ジンジャ	漢	神社	ジンジャ	ジンジャ	ジンジャ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
角	名詞	普通名詞	一般	*	*	*	カド	角	角	カド	カド	和	角	カド	カド	カド	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
まがり	動詞	一般	*	*	文語四段-ラ行	連用形-一般	マガル	曲がる	まがり	マガリ	マガリ	和	まがる	マガル	マガル	マガル	*	*	*	*	*	*	0	C2	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
より	助詞	格助詞	*	*	*	*	ヨリ	より	より	ヨリ	ヨリ	和	より	ヨリ	ヨリ	ヨリ	*	*	*	*	*	*	*	"名詞%F2@1	動詞%F2@1	形容詞%F2@1"	*
これ	代名詞	*	*	*	*	*	コレ	此れ	これ	コレ	コレ	和	これ	コレ	コレ	コレ	*	*	*	*	*	*	0	*	*
