katakana,10,5,4,2,5,4,3,2,3,1,1,3,0,1,2,0,1,4,4,8,4,12,3,0,0
kanji,1,1,0,2,3,3,1,2,2,8,2,1,3,2,3,4,2,2,1,3,2,8,2,3,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
