katakana,2,3,5,3,5,2,4,2,4,3,6,9,11,4,5,4,4,6
kanji,7,14,12,12,5,10,2,5,8,10,3,7,4,6,6,8,20,2
romaji,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
