katakana,0,7,5,3,0,1,5,1,0,1,5,46,9,19,24,8,2,2,3,1,0,6,3,4,23,2,6,1
kanji,4,3,1,9,2,2,2,1,8,3,2,3,7,1,1,5,2,1,0,2,0,3,1,4,1,1,2,0
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
