katakana,7,14,87,8,41,45,45,8,5,9,19,44,16,146,5
kanji,0,4,1,0,5,4,4,2,4,3,2,3,2,2,1
romaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
