katakana,30,16,26,34,20,27,21,27,17,36,12,9,0,0,3,0
kanji,11,2,3,4,3,0,1,4,2,3,2,3,3,0,0,1
romaji,0,0,0,0,0,2,0,0,8,47,0,0,2,3,0,0
