18,5,8,8,11,15,21,23,10,16,8,9,8,11,14,21,8,7,18,9,0
10,9,6,5,12,5,6,10,4,3,2,2,2,5,2,9,3,3,2,3,0
5,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
