katakana,4,7,0,0,0,2,5,2,5,0,2,1,4,2,4,2,1,1,2,0
kanji,17,8,1,2,5,8,7,3,0,3,5,3,2,2,18,9,2,1,3,1
romaji,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
